entA	entB	We
273	1759	1
273	1785	1
273	26052	1
273	824	1
273	161	1
273	1020	1
273	5530	1
273	274	1
273	5532	1
273	25977	1
273	8867	1
273	9901	1
6455	1759	1
6455	1785	1
6455	26052	1
6455	6456	1
6455	7534	1
6455	10015	1
6455	6457	1
6455	7431	1
6455	392	1
6455	23176	1
6455	5689	1
6455	10570	1
6455	10059	1
6455	6812	1
6455	3778	1
6455	57030	1
6455	114569	1
6455	192683	1
6455	999	1
6455	8867	1
6455	1783	1
6455	9901	1
1759	1785	1
1759	2885	1
1759	29993	1
1759	6456	1
1759	5621	1
1759	3064	1
1759	6453	1
1759	5217	1
1759	50807	1
1759	6714	1
1759	1020	1
1759	5530	1
1759	25	1
1759	274	1
1785	2885	1
1785	6456	1
1785	10574	1
1785	7919	1
1785	3064	1
1785	6453	1
1785	2801	1
1785	6262	1
1785	1639	1
1785	1780	1
1785	2580	1
1785	22941	1
1785	50944	1
1785	7415	1
1785	6714	1
1785	26060	1
1785	25	1
1785	1398	1
1785	2017	1
1785	3146	1
1785	5837	1
1785	5479	1
1785	51678	1
1785	6187	1
26052	2534	1
26052	25	1
26052	5536	1
26052	5708	1
2923	7415	1
2923	10549	1
2923	821	1
2923	1327	1
2923	55848	1
2923	811	1
2923	6328	1
22808	5894	1
22808	4301	1
8470	7534	1
8470	7531	1
8470	10006	1
8470	22839	1
8470	2801	1
8470	6133	1
8470	5062	1
8470	2195	1
8470	25	1
8470	87	1
8470	146705	1
8470	81	1
8470	8867	1
8470	8936	1
2885	3265	1
2885	9228	1
2885	10015	1
2885	2512	1
2885	2495	1
2885	10342	1
2885	1742	1
2885	10006	1
2885	5621	1
2885	1191	1
2885	3309	1
2885	58512	1
2885	22839	1
2885	7431	1
2885	4130	1
2885	28964	1
2885	1627	1
2885	2316	1
2885	10188	1
2885	5799	1
2885	998	1
2885	5781	1
2885	3190	1
2885	10657	1
2885	10540	1
2885	10236	1
2885	3183	1
2885	2954	1
2885	22941	1
2885	50807	1
2885	80852	1
2885	7415	1
2885	5062	1
2885	6711	1
2885	3845	1
2885	85358	1
2885	5530	1
2885	25	1
2885	23114	1
2885	23230	1
2885	22999	1
2885	1271	1
2885	2799	1
2885	6137	1
2885	6237	1
2885	2550	1
2885	27154	1
2885	2571	1
2885	287	1
2885	26275	1
2885	274	1
2885	2023	1
2885	2	1
2885	1337	1
2885	1892	1
2885	2271	1
2885	2098	1
2885	9093	1
2885	5930	1
2885	7316	1
2885	25758	1
2885	25930	1
2885	26153	1
2885	4627	1
2885	4509	1
2885	1315	1
2885	373156	1
2885	3937	1
2885	5532	1
2885	7311	1
2885	9229	1
2885	2047	1
2885	51726	1
2885	3856	1
2885	79869	1
2885	4133	1
2885	448834	1
2885	60314	1
2885	51560	1
2885	3780	1
2885	399687	1
2885	7317	1
2885	8867	1
2885	8766	1
2885	9266	1
2885	9729	1
2885	9901	1
2885	9054	1
2885	8506	1
2885	675	1
2885	8853	1
2885	3568	1
2885	51762	1
2885	51596	1
2885	9948	1
2885	6506	1
2885	8936	1
29993	7534	1
29993	2495	1
29993	667	1
29993	3064	1
29993	3190	1
29993	27316	1
29993	6711	1
29993	4137	1
29993	25	1
29993	4509	1
29993	2778	1
29993	8522	1
29993	30845	1
29993	8867	1
29993	84457	1
6456	10015	1
6456	6457	1
6456	22839	1
6456	6453	1
6456	2534	1
6456	10657	1
6456	2010	1
6456	10570	1
6456	71	1
6456	50807	1
6456	1781	1
6456	57030	1
6456	25930	1
6456	3937	1
6456	8867	1
6456	9901	1
22895	5864	1
22895	8573	1
22895	5874	1
6548	3265	1
6548	7529	1
6548	3845	1
6548	801	1
6548	9448	1
6548	999	1
6548	5534	1
6548	11261	1
3303	5792	1
3303	3320	1
3303	192111	1
3303	6622	1
3303	9131	1
3303	4137	1
3303	10963	1
3303	22919	1
3303	6767	1
3303	999	1
3303	9693	1
3303	9868	1
3303	6620	1
3265	5898	1
3265	8773	1
3265	5894	1
3265	1495	1
3265	10006	1
3265	1838	1
3265	4684	1
3265	1739	1
3265	1741	1
3265	4301	1
3265	4478	1
3265	1173	1
3265	6558	1
3265	5792	1
3265	998	1
3265	23176	1
3265	5573	1
3265	23673	1
3265	8476	1
3265	4905	1
3265	27131	1
3265	10397	1
3265	4140	1
3265	5861	1
3265	11031	1
3265	140885	1
3265	23157	1
3265	7165	1
3265	5413	1
3265	4067	1
3265	1499	1
3265	476	1
3265	23043	1
3265	6711	1
3265	6714	1
3265	6708	1
3265	6709	1
3265	3845	1
3265	4155	1
3265	85358	1
3265	5870	1
3265	6845	1
3265	10211	1
3265	50488	1
3265	10458	1
3265	23513	1
3265	1267	1
3265	4082	1
3265	5910	1
3265	23236	1
3265	2776	1
3265	3107	1
3265	23191	1
3265	51715	1
3265	338	1
3265	1525	1
3265	6844	1
3265	301	1
3265	310	1
3265	23646	1
3265	10381	1
3265	118	1
3265	989	1
3265	11059	1
3265	23011	1
3265	10890	1
3265	2011	1
3265	157922	1
3265	120	1
3265	3482	1
3265	1500	1
3265	10652	1
3265	54927	1
3265	10801	1
3265	10938	1
3265	255057	1
3265	9341	1
3265	11311	1
3265	10493	1
3265	9448	1
3265	999	1
3265	7037	1
3265	5362	1
3265	214	1
3265	6507	1
3265	1947	1
3265	112	1
3265	5333	1
3265	55752	1
3265	6566	1
3265	6520	1
3265	2036	1
3265	8502	1
3265	10067	1
3265	158358	1
3265	5872	1
3265	9475	1
3265	9522	1
3265	8495	1
3265	490	1
3265	493	1
3265	682	1
3265	2035	1
3265	5097	1
3265	5297	1
3265	9066	1
3265	9230	1
3265	9253	1
3265	25921	1
3265	255252	1
3265	65108	1
3265	119	1
3265	23603	1
3265	5361	1
3265	11261	1
3265	27020	1
3265	25800	1
3265	4763	1
3265	811	1
3265	5291	1
3265	987	1
3265	51025	1
3265	8036	1
3265	8417	1
3265	9554	1
3265	5874	1
3265	6233	1
3265	9962	1
3265	8140	1
3265	7879	1
3265	6305	1
3265	6515	1
3265	57446	1
3265	6509	1
3265	57465	1
5898	149371	1
5898	55770	1
5898	3845	1
5898	801	1
5898	51726	1
5898	9126	1
5898	5333	1
6616	6804	1
6616	6453	1
6616	112476	1
6616	3799	1
6616	6857	1
6616	6844	1
6616	112755	1
6616	2054	1
6616	999	1
6616	10815	1
6616	80725	1
322	351	1
322	5621	1
322	334	1
322	3845	1
322	4035	1
322	301	1
322	382	1
351	7532	1
351	1072	1
351	3028	1
351	5621	1
351	1191	1
351	4747	1
351	2273	1
351	29979	1
351	10053	1
351	7165	1
351	6622	1
351	1509	1
351	3845	1
351	4137	1
351	11140	1
351	5864	1
351	10211	1
351	2	1
351	22919	1
351	10128	1
351	4915	1
351	1410	1
351	5354	1
351	30968	1
351	10134	1
351	4916	1
351	56899	1
351	5872	1
351	9217	1
351	4763	1
351	811	1
351	84894	1
351	55754	1
351	4047	1
351	7267	1
351	8774	1
351	55361	1
10971	53616	1
10971	7531	1
10971	7529	1
10971	7532	1
10971	81565	1
10971	4137	1
10971	1781	1
10971	7316	1
10971	1947	1
10971	5291	1
10971	988	1
53616	7534	1
53616	7529	1
53616	1739	1
53616	23513	1
53616	9211	1
7534	7531	1
7534	7532	1
7534	1072	1
7534	5894	1
7534	5058	1
7534	5573	1
7534	11345	1
7534	5566	1
7534	7415	1
7534	81565	1
7534	4137	1
7534	7001	1
7534	2023	1
7534	10458	1
7534	5581	1
7534	4627	1
7534	55177	1
7534	11346	1
7534	3937	1
7534	51776	1
7534	5906	1
7534	2812	1
7534	999	1
7534	6854	1
7534	8745	1
7534	8567	1
7534	988	1
7534	8462	1
7531	7529	1
7531	7532	1
7531	7533	1
7531	5894	1
7531	2495	1
7531	2273	1
7531	2597	1
7531	81565	1
7531	801	1
7531	10486	1
7531	4513	1
7531	4628	1
7531	729873	1
7531	2938	1
7531	9588	1
7531	8573	1
7531	90799	1
7531	999	1
7531	26059	1
7531	6854	1
5048	1457	1
5048	5050	1
5048	5049	1
5048	10540	1
5048	1639	1
5048	81565	1
5048	23043	1
5048	10726	1
5048	1778	1
5048	9662	1
7529	7532	1
7529	5894	1
7529	815	1
7529	7431	1
7529	3064	1
7529	23136	1
7529	581	1
7529	81565	1
7529	55177	1
7529	816	1
7529	999	1
7532	5894	1
7532	5058	1
7532	23136	1
7532	81565	1
7532	25	1
7532	4628	1
7532	55177	1
7532	11346	1
7532	90799	1
7532	8766	1
7532	9729	1
7533	23136	1
7533	6622	1
7533	22999	1
7533	22832	1
7533	80184	1
7533	9662	1
7533	23322	1
2896	5034	1
2896	1399	1
2896	5879	1
2896	773	1
2896	3339	1
2896	55738	1
2896	821	1
2896	6449	1
2896	114971	1
8773	6804	1
8773	667	1
8773	3799	1
8773	3845	1
8773	6844	1
8773	112755	1
8773	2785	1
8773	63908	1
8773	9782	1
8773	2054	1
8773	999	1
8773	3916	1
8773	134957	1
8773	8775	1
8773	9515	1
1072	1073	1
1072	60	1
1072	71	1
1072	476	1
1072	6714	1
1072	10808	1
1072	2017	1
1072	70	1
5894	1021	1
5894	5058	1
5894	5315	1
5894	22800	1
5894	5594	1
5894	5573	1
5894	3320	1
5894	4043	1
5894	2810	1
5894	5062	1
5894	5037	1
5894	3845	1
5894	4155	1
5894	5515	1
5894	6237	1
5894	10963	1
5894	11140	1
5894	5595	1
5894	1399	1
5894	6009	1
5894	10910	1
5894	5516	1
5894	3326	1
5894	5906	1
5894	5604	1
5894	5536	1
5894	5708	1
5894	5813	1
5894	4763	1
5894	7203	1
2891	2892	1
2891	9463	1
2891	4905	1
2891	2893	1
2891	8497	1
2891	80852	1
2892	9463	1
2892	4905	1
2892	80852	1
3028	4190	1
3028	2752	1
3028	5160	1
3028	9131	1
3028	10452	1
3028	226	1
3028	1808	1
3028	8050	1
3028	3032	1
3028	3155	1
3028	5162	1
3028	3329	1
3028	498	1
3028	5836	1
3028	5163	1
3028	3030	1
3028	1431	1
3028	65018	1
3028	2110	1
3028	2746	1
3028	56993	1
3028	4967	1
3028	9804	1
3028	94081	1
9228	1742	1
9228	1739	1
9228	1741	1
9228	6453	1
9228	2904	1
9228	2906	1
9228	2534	1
9228	1740	1
9228	22941	1
9228	50944	1
9228	6714	1
9228	85358	1
9228	25	1
9228	1398	1
9228	9229	1
10015	815	1
10015	6453	1
10015	6773	1
10015	2534	1
10015	7251	1
10015	128866	1
10015	5362	1
55824	2048	1
55824	2534	1
55824	4067	1
55824	3845	1
55824	25	1
55824	999	1
55824	9368	1
2512	2495	1
2512	3064	1
2512	7251	1
2512	81565	1
2512	5501	1
2512	3312	1
2512	4656	1
2512	51678	1
2512	5911	1
2495	1460	1
2495	1191	1
2495	1400	1
2495	25843	1
2495	27063	1
2495	54472	1
2495	999	1
2495	91662	1
10342	2197	1
10342	6342	1
10342	1400	1
10342	3927	1
10342	219287	1
10342	311	1
10935	3184	1
10935	7316	1
10935	10549	1
10935	3329	1
10935	5163	1
2197	6188	1
6342	773	1
6342	3295	1
6342	5306	1
7905	23647	1
7905	11165	1
7905	55738	1
7905	5869	1
7905	821	1
91283	5217	1
91283	2778	1
91283	999	1
91283	9126	1
10574	1400	1
10574	1937	1
10574	5689	1
10574	1780	1
10574	3845	1
10574	1781	1
10574	301	1
10574	310	1
10574	7283	1
10574	10576	1
10574	509	1
10574	5908	1
10574	6229	1
1021	10006	1
1021	5684	1
1021	1499	1
1021	5515	1
1021	11140	1
1021	55083	1
1021	3326	1
824	5594	1
824	826	1
824	4137	1
6804	23025	1
6804	7431	1
6804	23673	1
6804	5684	1
6804	2010	1
6804	8675	1
6804	11140	1
6804	6812	1
6804	10228	1
6804	6844	1
6804	116841	1
6804	8674	1
6804	6843	1
6804	63908	1
6804	80342	1
6804	2054	1
6804	5354	1
6804	9341	1
6804	2824	1
6804	10815	1
6804	6813	1
6804	10497	1
6804	9342	1
6804	975	1
6804	80777	1
6804	8417	1
6804	9554	1
1495	1457	1
1495	4301	1
1495	3728	1
1495	1499	1
1495	3845	1
1495	1487	1
1495	87	1
1495	229	1
1495	5604	1
1495	23424	1
1495	999	1
1495	9922	1
5058	7431	1
5058	2316	1
5058	5499	1
5058	961	1
5058	998	1
5058	3320	1
5058	8655	1
5058	140735	1
5058	8874	1
5058	1020	1
5058	4155	1
5058	5515	1
5058	2017	1
5058	3182	1
5058	29066	1
5058	5879	1
5058	6130	1
5058	5236	1
5058	84446	1
2934	60	1
2934	27347	1
2934	58	1
3612	7415	1
3612	6285	1
2108	998	1
2108	9131	1
2108	3312	1
2108	3329	1
2108	5163	1
2108	1327	1
2108	2109	1
2108	9804	1
2108	84987	1
2108	94081	1
3800	1459	1
3800	1457	1
3800	23043	1
3800	7430	1
